Store,Dept,Date,Weekly_Sales,Weekly_Sales_Predicted,IsHoliday,Type,Difference
1,1,2012-08-10,16119.92,22258.03,0,A,6138.11
1,1,2012-08-17,17330.7,21912.64,0,A,4581.94
1,1,2012-08-24,16286.4,22192.53,0,A,5906.13
1,1,2012-08-31,16680.24,22700.57,0,A,6020.33
1,1,2012-09-07,18322.37,23202.08,1,A,4879.71
1,1,2012-09-14,19616.22,22626.37,0,A,3010.15
1,1,2012-09-21,19251.5,22408.68,0,A,3157.18
1,1,2012-09-28,18947.81,22354.85,0,A,3407.04
1,1,2012-10-05,21904.47,24654.93,0,A,2750.46
1,1,2012-10-12,22764.01,22507.85,0,A,-256.16
1,1,2012-10-19,24185.27,23146.61,0,A,-1038.66
1,1,2012-10-26,27390.81,22917.77,0,A,-4473.04
1,2,2012-08-10,46729.91,46953.11,0,A,223.2
1,2,2012-08-17,46350.97,46251.44,0,A,-99.53
1,2,2012-08-24,44972.52,47053.0,0,A,2080.48
1,2,2012-08-31,50995.5,47220.81,0,A,-3774.69
1,2,2012-09-07,47344.5,47018.73,1,A,-325.77
1,2,2012-09-14,44493.61,46849.57,0,A,2355.96
1,2,2012-09-21,43541.07,46300.59,0,A,2759.52
1,2,2012-09-28,45784.76,46194.76,0,A,410.0
1,2,2012-10-05,48577.08,49190.89,0,A,613.81
1,2,2012-10-12,42112.67,46423.14,0,A,4310.47
1,2,2012-10-19,42354.72,46729.34,0,A,4374.62
1,2,2012-10-26,43134.88,46639.86,0,A,3504.98
1,3,2012-08-10,28257.3,13139.05,0,A,-15118.25
1,3,2012-08-17,31905.97,13059.57,0,A,-18846.4
1,3,2012-08-24,43712.78,13164.17,0,A,-30548.61
1,3,2012-08-31,50701.3,13362.78,0,A,-37338.52
1,3,2012-09-07,18368.51,13558.53,1,A,-4809.98
1,3,2012-09-14,14288.22,12842.81,0,A,-1445.41
1,3,2012-09-21,13403.63,12859.34,0,A,-544.29
1,3,2012-09-28,13085.95,12811.9,0,A,-274.05
1,3,2012-10-05,11676.98,13958.5,0,A,2281.52
1,3,2012-10-12,10487.17,12878.26,0,A,2391.09
1,3,2012-10-19,8548.87,13413.46,0,A,4864.59
1,3,2012-10-26,9350.9,13274.33,0,A,3923.43
1,4,2012-08-10,40343.83,37324.02,0,A,-3019.81
1,4,2012-08-17,38105.9,36957.64,0,A,-1148.26
1,4,2012-08-24,36674.67,37311.38,0,A,636.71
1,4,2012-08-31,37802.97,37550.15,0,A,-252.82
1,4,2012-09-07,39549.27,37949.47,1,A,-1599.8
1,4,2012-09-14,35044.06,37108.08,0,A,2064.02
1,4,2012-09-21,34507.34,36692.56,0,A,2185.22
1,4,2012-09-28,34647.33,36621.39,0,A,1974.06
1,4,2012-10-05,39311.93,39615.82,0,A,303.89
1,4,2012-10-12,35446.18,36586.84,0,A,1140.66
1,4,2012-10-19,35549.19,37767.5,0,A,2218.31
1,4,2012-10-26,36292.6,37626.28,0,A,1333.68
1,5,2012-08-10,18232.46,23524.17,0,A,5291.71
1,5,2012-08-17,15440.65,23613.35,0,A,8172.7
1,5,2012-08-24,22446.23,23647.39,0,A,1201.16
1,5,2012-08-31,18615.76,23722.46,0,A,5106.7
1,5,2012-09-07,18236.15,24720.68,1,A,6484.53
1,5,2012-09-14,19369.52,24947.71,0,A,5578.19
1,5,2012-09-21,25798.78,24673.37,0,A,-1125.41
1,5,2012-09-28,22560.39,23896.24,0,A,1335.85
1,5,2012-10-05,25508.81,27403.14,0,A,1894.33
1,5,2012-10-12,20920.03,24665.42,0,A,3745.39
1,5,2012-10-19,20413.83,25984.59,0,A,5570.76
1,5,2012-10-26,25846.94,26379.66,0,A,532.72
1,6,2012-08-17,2725.3,4553.45,0,A,1828.15
1,6,2012-08-24,2626.5,4582.32,0,A,1955.82
1,6,2012-08-31,2987.07,4665.69,0,A,1678.62
1,6,2012-09-07,2576.64,4697.95,1,A,2121.31
1,6,2012-09-14,3073.31,4560.91,0,A,1487.6
1,6,2012-09-21,4159.51,4602.84,0,A,443.33
1,6,2012-09-28,3168.68,4550.67,0,A,1381.99
1,6,2012-10-05,3843.29,4858.2,0,A,1014.91
1,6,2012-10-12,3788.59,4511.58,0,A,722.99
1,6,2012-10-19,3496.69,4708.62,0,A,1211.93
1,6,2012-10-26,4032.5,4724.12,0,A,691.62
1,7,2012-08-10,16552.49,25078.87,0,A,8526.38
1,7,2012-08-17,16256.91,24631.75,0,A,8374.84
1,7,2012-08-24,15159.94,24896.17,0,A,9736.23
1,7,2012-08-31,15802.09,25285.93,0,A,9483.84
1,7,2012-09-07,16941.42,25367.96,1,A,8426.54
1,7,2012-09-14,15525.82,24792.55,0,A,9266.73
1,7,2012-09-21,22542.44,24580.84,0,A,2038.4
1,7,2012-09-28,22343.24,24417.94,0,A,2074.7
1,7,2012-10-05,22071.39,26881.94,0,A,4810.55
1,7,2012-10-12,20212.71,24779.42,0,A,4566.71
1,7,2012-10-19,21937.45,26143.72,0,A,4206.27
1,7,2012-10-26,21449.85,25765.49,0,A,4315.64
1,8,2012-08-10,37269.92,36175.68,0,A,-1094.24
1,8,2012-08-17,36294.18,35814.45,0,A,-479.73
1,8,2012-08-24,33855.28,36106.58,0,A,2251.3
1,8,2012-08-31,37666.92,36603.33,0,A,-1063.59
1,8,2012-09-07,38666.21,36257.45,1,A,-2408.76
1,8,2012-09-14,37346.83,35790.57,0,A,-1556.26
1,8,2012-09-21,36404.63,35329.77,0,A,-1074.86
1,8,2012-09-28,37254.84,35430.02,0,A,-1824.82
1,8,2012-10-05,42663.75,38375.67,0,A,-4288.08
1,8,2012-10-12,37248.47,35232.84,0,A,-2015.63
1,8,2012-10-19,38668.75,36155.76,0,A,-2512.99
1,8,2012-10-26,39255.35,35873.47,0,A,-3381.88
1,9,2012-08-10,20400.88,28496.93,0,A,8096.05
1,9,2012-08-17,23503.86,28117.37,0,A,4613.51
1,9,2012-08-24,26262.95,28362.06,0,A,2099.11
1,9,2012-08-31,41634.69,28650.25,0,A,-12984.44
1,9,2012-09-07,42920.95,28714.11,1,A,-14206.84
1,9,2012-09-14,31882.98,28203.17,0,A,-3679.81
1,9,2012-09-21,33889.72,28166.22,0,A,-5723.5
1,9,2012-09-28,40712.85,27905.19,0,A,-12807.66
1,9,2012-10-05,40439.53,30530.32,0,A,-9909.21
1,9,2012-10-12,37126.23,28291.87,0,A,-8834.36
1,9,2012-10-19,36690.81,29322.98,0,A,-7367.83
1,9,2012-10-26,41040.84,29022.95,0,A,-12017.89
1,10,2012-08-10,33834.22,30901.35,0,A,-2932.87
1,10,2012-08-17,29723.55,30704.2,0,A,980.65
1,10,2012-08-24,27884.19,31106.47,0,A,3222.28
1,10,2012-08-31,28490.93,31551.14,0,A,3060.21
1,10,2012-09-07,30851.75,31502.05,1,A,650.3
1,10,2012-09-14,31705.09,31201.85,0,A,-503.24
1,10,2012-09-21,29203.63,31082.04,0,A,1878.41
1,10,2012-09-28,27205.4,30914.82,0,A,3709.42
1,10,2012-10-05,27822.4,33608.79,0,A,5786.39
1,10,2012-10-12,27803.78,31211.62,0,A,3407.84
1,10,2012-10-19,29442.38,32123.32,0,A,2680.94
1,10,2012-10-26,26285.27,31726.88,0,A,5441.61
1,11,2012-08-10,24145.93,25287.47,0,A,1141.54
1,11,2012-08-17,20281.68,24882.31,0,A,4600.63
1,11,2012-08-24,20462.68,25057.49,0,A,4594.81
1,11,2012-08-31,21103.42,25488.74,0,A,4385.32
1,11,2012-09-07,23338.99,25229.63,1,A,1890.64
1,11,2012-09-14,17027.47,24779.52,0,A,7752.05
1,11,2012-09-21,18161.43,24632.62,0,A,6471.19
1,11,2012-09-28,17242.78,24434.76,0,A,7191.98
1,11,2012-10-05,22374.18,26738.42,0,A,4364.24
1,11,2012-10-12,21857.09,24646.17,0,A,2789.08
1,11,2012-10-19,18259.82,25571.43,0,A,7311.61
1,11,2012-10-26,22399.83,25285.21,0,A,2885.38
1,12,2012-08-10,10605.66,10247.99,0,A,-357.67
1,12,2012-08-17,11447.03,10280.71,0,A,-1166.32
1,12,2012-08-24,10723.59,10345.13,0,A,-378.46
1,12,2012-08-31,10591.46,10536.42,0,A,-55.04
1,12,2012-09-07,12566.45,10699.35,1,A,-1867.1
1,12,2012-09-14,10484.08,10124.94,0,A,-359.14
1,12,2012-09-21,9448.14,10147.53,0,A,699.39
1,12,2012-09-28,11013.77,10097.82,0,A,-915.95
1,12,2012-10-05,10037.09,11140.9,0,A,1103.81
1,12,2012-10-12,8983.82,10240.03,0,A,1256.21
1,12,2012-10-19,10830.48,10544.85,0,A,-285.63
1,12,2012-10-26,8658.41,10496.51,0,A,1838.1
1,13,2012-08-10,42241.23,39181.15,0,A,-3060.08
1,13,2012-08-17,41658.4,38684.82,0,A,-2973.58
1,13,2012-08-24,39231.62,39316.96,0,A,85.34
1,13,2012-08-31,40940.78,39616.05,0,A,-1324.73
1,13,2012-09-07,44373.19,39124.68,1,A,-5248.51
1,13,2012-09-14,38759.47,38624.31,0,A,-135.16
1,13,2012-09-21,39746.87,38351.02,0,A,-1395.85
1,13,2012-09-28,39793.41,38307.0,0,A,-1486.41
1,13,2012-10-05,43746.89,41586.9,0,A,-2159.99
1,13,2012-10-12,38015.36,38212.45,0,A,197.09
1,13,2012-10-19,38341.15,38919.52,0,A,578.37
1,13,2012-10-26,38512.48,38711.2,0,A,198.72
1,14,2012-08-10,12434.69,15311.78,0,A,2877.09
1,14,2012-08-17,12419.06,15315.89,0,A,2896.83
1,14,2012-08-24,11041.63,15439.05,0,A,4397.42
1,14,2012-08-31,12912.96,15584.39,0,A,2671.43
1,14,2012-09-07,13711.08,15900.01,1,A,2188.93
1,14,2012-09-14,11596.1,15101.1,0,A,3505.0
1,14,2012-09-21,12193.8,15231.33,0,A,3037.53
1,14,2012-09-28,12037.66,15095.95,0,A,3058.29
1,14,2012-10-05,14381.21,16553.5,0,A,2172.29
1,14,2012-10-12,11450.64,15212.48,0,A,3761.84
1,14,2012-10-19,12035.51,15835.42,0,A,3799.91
1,14,2012-10-26,11150.0,15714.32,0,A,4564.32
1,16,2012-08-10,21677.85,24092.35,0,A,2414.5
1,16,2012-08-17,20035.26,23637.79,0,A,3602.53
1,16,2012-08-24,18393.12,23937.97,0,A,5544.85
1,16,2012-08-31,16797.62,24738.91,0,A,7941.29
1,16,2012-09-07,20473.94,24249.68,1,A,3775.74
1,16,2012-09-14,14646.37,23805.0,0,A,9158.63
1,16,2012-09-21,13415.51,23723.9,0,A,10308.39
1,16,2012-09-28,14734.64,23476.27,0,A,8741.63
1,16,2012-10-05,11320.41,25813.72,0,A,14493.31
1,16,2012-10-12,10525.66,23802.09,0,A,13276.43
1,16,2012-10-19,9518.43,24628.32,0,A,15109.89
1,16,2012-10-26,9934.63,24364.97,0,A,14430.34
1,17,2012-08-10,8441.34,9119.41,0,A,678.07
1,17,2012-08-17,8710.04,9177.41,0,A,467.37
1,17,2012-08-24,9523.9,9275.44,0,A,-248.46
1,17,2012-08-31,8158.73,9392.31,0,A,1233.58
1,17,2012-09-07,8712.44,9617.8,1,A,905.36
1,17,2012-09-14,7075.73,8984.05,0,A,1908.32
1,17,2012-09-21,7143.59,9039.08,0,A,1895.49
1,17,2012-09-28,7155.75,9011.32,0,A,1855.57
1,17,2012-10-05,9040.52,9881.58,0,A,841.06
1,17,2012-10-12,7908.36,9140.78,0,A,1232.42
1,17,2012-10-19,7640.43,9496.54,0,A,1856.11
1,17,2012-10-26,7640.92,9437.97,0,A,1797.05
1,18,2012-08-17,9.97,7948.06,0,A,7938.09
